Partida Aduanera,Descripcion de la Partida Aduanera,Fecha,Qty,Und,U$ FAS Tot,U$ Flete & Seguro Tot,U$ CIF Tot,U$ FAS Und,U$ CIF Und,U$ (CIF + Imp) Und,Impuestos (%),Pais de Origen,Distrito de Descarga
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2021,547.000,KG,22446.000,4500.000,26946.000,41.034,49.261,49.261,0.000,GREECE,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2021,683.000,KG,21600.000,4500.000,26100.000,31.625,38.213,38.213,0.000,GREECE,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2021,255.000,KG,3125.000,466.000,3591.000,12.254,14.082,17.145,21.740,CHINA,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2021,1000.000,KG,16314.000,1659.000,17973.000,16.314,17.973,17.973,0.000,HONDURAS,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2021,418.000,KG,18707.000,1200.000,19907.000,44.753,47.624,47.624,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2021,5296.000,KG,55913.000,100.000,56013.000,10.557,10.576,10.576,0.000,JAPAN,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/04/2021,510.000,KG,28050.000,1200.000,29250.000,55.000,57.352,57.352,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2021,241.000,KG,3615.000,1500.000,5115.000,15.000,21.224,21.224,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2021,900.000,KG,14683.000,1297.000,15980.000,16.314,17.755,17.755,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2021,1220.000,KG,67550.000,2700.000,70250.000,55.368,57.581,57.581,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2021,3845.000,KG,40600.000,100.000,40700.000,10.559,10.585,10.585,0.000,JAPAN,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2021,721.000,KG,31350.000,4500.000,35850.000,43.481,49.722,49.722,0.000,CANADA,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2021,5924.000,KG,62550.000,2320.000,64870.000,10.558,10.950,10.950,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2021,2259.000,KG,21058.000,3588.000,24646.000,9.321,10.910,13.240,21.360,CHINA,NEW YORK CITY N.Y.
